Компоненти	Завдання
Базові завдання	
	Поміняти фавікон і назву додатку на Money Guard
	Створити глобальні змінні для стилізації компонентів, які слід використовувати в проєкті
	Підключити шрифти
	Організувати роботу redux
	Реалізувати зберігання в localStorage токена авторизованого користувача за допомогою бібліотеки redux-persisit click
App	
	Написати операцію, яка робить запит за поточними даними користувача
	Реалізувати логіку приватних і публічних маршрутів
RegistrationPage            /register	Верстка мобілка, планшет, десктоп
	Забезпечити необхідне позиціонування елементів на сторінці
	Рендерить компонент RegistrationForm
RegistrationForm	Верстка мобілка, планшет, десктоп
	RegistrationForm включає Email, Password, Confirm password, ProgressBar і кнопку типу "submit" - "Register".  По кліку на кнопку повинна відбутись вілідація полів форми за допомогою бібліотек Formik+Yup.  Валідація полів повинна відбуватись відповідно до документації бекенду.
	ProgressBar є індикатором заповненості поля Confirm password і його відповідності полю Password і реалізується за допомогою бібліотеки click 
	По результату валідації : - у разі наявності помилок валідації - біля відповідних полів форми потрібно вивести повідомлення з суттю помилки і заблокувати відправку запиту з форми на backend.  - у разі, якщо всі значення валідні, - дані слід відправити на backend. - якщо backend повернув помилку - необхідно її обробити і відобразити користувачеві у вигляді пуш-повідомлення.  - якщо запит на backend пройшов успішно і дані про користувача отримано - необхідно реалізувати автоматичну авторизацію і переадресувати користувача на приватну сторінку DashboardPage
	Елемент навігації "Log in" слід реалізувати як компонент Link, використовуючи бібліотеку react-router-dom click,  який перенаправляє користувача на LoginPage.
LoginPage                       /login	Верстка мобілка, планшет, десктоп
	Забезпечити необхідне позиціонування елементів на сторінці
	Рендерить компонент LoginForm
LoginForm	Верстка мобілка, планшет, десктоп
	LoginForm включає Email, Password і кнопку типу  "submit" - "Log in".  По кліку на кнопку повинна відбутись вілідація полів форми за допомогою бібліотек Formik+Yup.  Валідація полів повинна відбуватись відповідно до документації бекенду.
	По результату валідації : - у разі наявності помилок валідації - біля відповідних полів форми потрібно вивести повідомлення з суттю помилки і заблокувати відправку запиту з форми на backend.  - у разі, якщо всі значення валідні, - дані слід відправити на backend. - якщо backend повернув помилку - необхідно її обробити і відобразити користувачеві у вигляді пуш-повідомлення.  - якщо запит на backend пройшов успішно і дані про користувача отримано - необхідно реалізувати автоматичну авторизацію і переадресувати користувача на приватну сторінку DashboardPage
	Посилання "Register" слід реалізувати як компонент Link, використовуючи бібліотеку react-router-dom click, який перенаправляє користувача на RegistrationPage.
UserAcountLayout	Верстка мобілка, планшет, десктоп
	Компонент обгортка, що вміщає в себе основні блоки(компоненти) сторінки авторизованого юзера: -Header - хедер сторінки -Sidebar - боковий блок -основний контент сторінки, що буде змінюватись в залежності від маршруту.
Header	Верстка мобілка, планшет, десктоп
	Містить в собі: логотип компанії, ім'я користувача та кнопку Exit Клік на кнопку Exit повинно відкриватись модальне вікно для підтвердження/відміни даної операції за допомогою кнопок:  - Log out - надсилає запит на backend, що видаляє активну сесію користувача,  - Cancel - відміняє дану операцію і закриває модалку. Незалежно від відповіді backenda користувача слід розлогінити "на клієнті", очистивши при цьому redux store і localStorage, закрити модлку і переадресувати на сторінку LoginPage  Якщо backend повернув помилку - її додатково необхідно обробити і відобразити як пуш повідомлення.
Sidebar	Верстка мобілка, планшет, десктоп
	Включає в себе компоненти:  - Navigation - блок навігагації  - Ballance - блок відображення балансу юзера  - Currency - блок відображення валюти. На моб. версії повинен відкриватись на окремому маршруті.
Navigation	Верстка мобілка, планшет, десктоп
	Є списком елементів навігації NavLink, що містить такі маршрути:  / - переадресовує на HomeTab (активна за замовчуванням)  /statistics - переадресовує на StatisticsTab  /currency - переадресовує на CurrencyTab (для мобілки)
Balance	Верстка мобілка, планшет, десктоп
	Компонент підписаний на redux store і рендерить дані про баланс користувача. Значення балансу повинно змінюватись кожого разу коли відбувається додавання, видалення або оновлення транзакції. Значення відповідно до доданої, видаленої або оновленої транзакції повинно збільшуватись або зменшуватись в залежності від її типу витрати/доходи.
Currency	Верстка мобілка, планшет, десктоп
